step,vx_cmd,vx_actual,LF,RF,LH,RH,roll,pitch
182,0.8,0.41245112946379675,0,0,0,1,-0.07928184306295309,-0.14519395231635887
183,0.8,0.38843070009084196,0,0,0,1,-0.07528577339006196,-0.15651196061550807
184,0.8,0.3892219588728325,0,0,0,1,-0.07218071971409,-0.16445673715015194
185,0.8,0.41510230451063057,0,0,0,1,-0.07089256529580927,-0.17167461767599576
186,0.8,0.44523115775015515,0,0,0,1,-0.07312375801919997,-0.1774837912850446
187,0.8,0.4569628818896541,0,0,0,1,-0.0787534641806179,-0.1801850224161515
188,0.8,0.503206355569642,0,0,0,1,-0.08708734708926474,-0.18060935000349215
189,0.8,0.5406579171540334,0,0,0,1,-0.09960053662530466,-0.17851859874539028
190,0.8,0.5993692703849104,0,0,0,1,-0.11314665184497269,-0.17519891588919156
191,0.8,0.649649161764347,0,0,0,1,-0.12333527694874724,-0.1714214688156491
192,0.8,0.6698450933374286,0,0,0,1,-0.13019414267688895,-0.164760650893477
193,0.8,0.6937789923357219,0,0,0,1,-0.13212262649612005,-0.15706896143264173
194,0.8,0.695714117328939,0,0,0,1,-0.13141083540492432,-0.1480378965442994
195,0.8,0.7347507918107948,0,1,0,1,-0.12812031104445626,-0.14179460422880316
196,0.8,0.7296137538648785,0,1,0,0,-0.12747079356146687,-0.14532030818046315
197,0.8,0.7092376420380092,0,1,0,0,-0.12967715079560474,-0.15602496791019627
198,0.8,0.6677778406541693,0,1,0,0,-0.13078621649719274,-0.17093788188075248
199,0.8,0.6389383183092485,0,1,0,0,-0.12944254347027478,-0.18805950431074334
200,0.8,0.6010053121235008,0,1,1,0,-0.1263225985474362,-0.20668572992355635
201,0.8,0.49110297514520485,0,1,1,0,-0.1293316733711756,-0.21805882908785312
202,0.8,0.38209041259999865,0,1,1,0,-0.1341105193560194,-0.21912039467492775
203,0.8,0.27561593071462304,0,1,1,0,-0.13817564776327934,-0.21337465247698992
204,0.8,0.2650913523822853,0,1,1,0,-0.137919174285723,-0.20885746707001573
205,0.8,0.29292658049267756,0,1,1,0,-0.1322178457450668,-0.2096873907340177
206,0.8,0.3096174760501941,0,1,1,0,-0.12412706318781502,-0.2112521266569226
207,0.8,0.3266441659050052,0,0,1,0,-0.11926026020357626,-0.21051348740373393
208,0.8,0.3651049569555117,0,0,1,0,-0.12125763892230992,-0.20873511712495074
209,0.8,0.3828201777116772,0,0,1,0,-0.12893366082845642,-0.20646624447152429
210,0.8,0.30561824360609474,1,0,1,1,-0.13601260845187346,-0.1977650788423554
211,0.8,0.28745116838321494,1,0,1,1,-0.14163531512276936,-0.1866813021549952
212,0.8,0.28344495626154365,1,0,1,1,-0.14741374234344443,-0.17977198086549043
213,0.8,0.30648967539256683,1,0,1,1,-0.15419857483134983,-0.17924746955861362
214,0.8,0.31887634137970644,1,0,1,1,-0.1606377124287933,-0.18401944860594058
215,0.8,0.3452006491039707,1,0,1,1,-0.16530562738449497,-0.19080724490002773
216,0.8,0.36240988967042304,1,0,1,1,-0.16872929850761179,-0.19769431555574837
217,0.8,0.39068245506370697,1,0,0,1,-0.16683144017365711,-0.20524651275108768
218,0.8,0.40477633288820347,1,0,0,1,-0.1583614147377279,-0.21492655155620452
219,0.8,0.4048293466081039,1,0,0,1,-0.1440415276070353,-0.2244598930995837
220,0.8,0.39384365134753885,1,0,0,1,-0.1263518627484109,-0.23215514164091564
221,0.8,0.3926021248668944,1,0,0,1,-0.11116213969056747,-0.2373134293700986
222,0.8,0.41510507364847327,1,0,0,1,-0.10050009419503815,-0.24081479946318435
223,0.8,0.4382778076618222,0,0,0,1,-0.09325985594984677,-0.24341390409001779
224,0.8,0.4771796253066517,0,0,0,1,-0.08983656004191623,-0.24512905567809568
225,0.8,0.5313702612476621,0,0,0,1,-0.09009428420621486,-0.24695840847084752
226,0.8,0.5650371178839709,0,0,0,1,-0.09288893537039243,-0.24509993363690372
227,0.8,0.6025033671639308,0,0,0,1,-0.09749602505249594,-0.23980640596340697
228,0.8,0.6849306699186205,0,0,0,1,-0.10016717759622261,-0.23705779278240208
229,0.8,0.7134571805025931,0,0,0,1,-0.09976645132744726,-0.236620776799053
230,0.8,0.732242559766689,0,0,0,1,-0.09850773434321929,-0.23528730125849567
231,0.8,0.6729868230364455,0,1,1,0,-0.10115974876304765,-0.23399239358233115
232,0.8,0.6272554842277551,0,1,1,0,-0.10706105444198542,-0.22864789242449896
233,0.8,0.562319988162034,0,1,1,0,-0.11049550291834218,-0.2232439832284453
234,0.8,0.49191178509041567,0,1,1,0,-0.11001696124139815,-0.2156090978167424
235,0.8,0.42271064371203815,0,1,1,0,-0.10500528955988175,-0.2056070531692154
236,0.8,0.42265649872401334,0,1,1,0,-0.09350794126347461,-0.1953631641719402
237,0.8,0.4268619739574259,0,1,1,0,-0.07969348677925878,-0.18881183312397548
238,0.8,0.4170212064248717,0,1,1,0,-0.06661872457939116,-0.1843101568055948
239,0.8,0.4217575597868128,0,1,1,0,-0.055045618203348065,-0.1801725359150171
240,0.8,0.43097703303349066,0,1,1,0,-0.04692882312185201,-0.17724552380149863
241,0.8,0.46346640073883516,0,1,1,0,-0.04224113317451807,-0.17504436595907444
242,0.8,0.5027243582684124,0,1,1,0,-0.04066099646401393,-0.17273065358956016
243,0.8,0.5416937175539669,1,0,1,0,-0.04644421449781361,-0.17127809442532768
244,0.8,0.5299915744602813,1,0,1,0,-0.061399686871644425,-0.17232606200281492
245,0.8,0.5189309676286965,1,0,1,1,-0.08176338519823849,-0.17609328090387258
246,0.8,0.4804584972458567,1,0,1,1,-0.09643639606142354,-0.1776908026031571
247,0.8,0.4817436605725942,1,0,1,1,-0.10781188795639357,-0.17851758858545377
248,0.8,0.4973358874075178,1,0,1,1,-0.11721631470410704,-0.18146619401343717
249,0.8,0.5187320598667119,1,0,1,1,-0.1240173230400387,-0.18637010420271755
250,0.8,0.5427631795007929,1,0,1,1,-0.1285318338120331,-0.19198740761242886
251,0.8,0.5375976674075827,1,0,0,1,-0.12770153906110787,-0.19808249377206893
252,0.8,0.5504087284560895,1,0,0,1,-0.12342848918340506,-0.2039583805988318
253,0.8,0.5906105005624023,1,0,0,1,-0.11519721299134945,-0.2121127934222901
254,0.8,0.6053127486592046,0,0,0,1,-0.10252155478646412,-0.22141885178489706
255,0.8,0.5946383792101695,0,0,0,1,-0.08939385640917837,-0.22706394945377528
256,0.8,0.6094575940965525,0,0,0,1,-0.08113487488131035,-0.2286084614092644
257,0.8,0.6314671462677699,0,0,0,1,-0.07776795765804863,-0.2282210546043452
258,0.8,0.6754636941593909,0,0,0,1,-0.07770564179532653,-0.2259894189064324
259,0.8,0.7122880652731534,0,0,0,1,-0.08139628247764087,-0.22126425074191217
260,0.8,0.7530825799889835,0,0,0,1,-0.09101166342486317,-0.21330176492934308
261,0.8,0.8160197422555889,0,0,0,1,-0.10282109943851532,-0.2061373780480988
262,0.8,0.8394524148612977,0,0,0,0,-0.11887160150452986,-0.2034696384583733
263,0.8,0.8190099326779936,0,1,0,0,-0.1381725725397836,-0.20551098203635504
264,0.8,0.7554040971769451,0,1,0,0,-0.15191039274536045,-0.2121713628840555
265,0.8,0.6597263671914806,0,1,1,0,-0.15798393402573505,-0.21991552141378312
266,0.8,0.5231086680361627,0,1,1,0,-0.16242927592111733,-0.21802536830185712
267,0.8,0.4307432558564239,0,1,1,0,-0.16285530753137725,-0.2125475057774284
268,0.8,0.3485219076670082,0,1,1,0,-0.15925748753809907,-0.20532584642635662
269,0.8,0.31361961485119316,0,1,1,0,-0.1528996518847845,-0.19875920144540588
270,0.8,0.3096259516834692,0,1,1,0,-0.1473849943306008,-0.19650258645039634
271,0.8,0.3147056882239617,0,1,1,0,-0.14430122773700876,-0.19956046437620764
272,0.8,0.3249488943080574,0,1,1,0,-0.1403681206135989,-0.2028862652112124
273,0.8,0.3503274830895761,0,1,1,0,-0.1367560172991856,-0.20565499813973342
274,0.8,0.4157100475458083,0,1,1,0,-0.137553130395186,-0.21314786790925644
275,0.8,0.4064402236594332,0,1,1,0,-0.14382008501062055,-0.22204660909775334
276,0.8,0.3266419101592696,0,1,1,1,-0.15051792557291432,-0.22347083527653144
277,0.8,0.28045049547202444,0,1,1,1,-0.15453116834468647,-0.21350701601287794
278,0.8,0.31183973768293893,0,0,1,1,-0.16011875990987362,-0.2023059817239569
279,0.8,0.34105236845004405,1,0,1,1,-0.16682186308656952,-0.19474938188954735
280,0.8,0.32266291652333506,1,0,1,1,-0.17397640692867877,-0.18990822594451873
281,0.8,0.3139669291767263,1,0,1,1,-0.18012458959892041,-0.18684155760429283
282,0.8,0.31942965326815287,1,0,1,1,-0.1844076440379661,-0.18824023523029002
283,0.8,0.3220834713036149,1,0,1,1,-0.1870281153833958,-0.19183235557379016
284,0.8,0.3347208582431694,1,0,1,1,-0.18803563232331363,-0.19602430669052812
285,0.8,0.33515483311452965,1,0,1,1,-0.18868369049880487,-0.19928637819118822
286,0.8,0.34150416782722187,1,0,1,1,-0.18735691799402884,-0.2004421712294186
287,0.8,0.36111701553967834,1,0,0,1,-0.18031119146947874,-0.2013214395898386
288,0.8,0.3833411106310446,1,0,0,1,-0.16892840855566812,-0.20302789232799284
289,0.8,0.3940540360735374,1,0,0,1,-0.15455831753700003,-0.20594624746054502
290,0.8,0.3866797861589657,1,0,0,1,-0.1406393887858436,-0.20829911350799238
291,0.8,0.39471978758698617,1,0,0,1,-0.13212019304092973,-0.20805037378421048
292,0.8,0.4498012986444825,1,0,0,1,-0.12962204875376362,-0.20782208125039314
293,0.8,0.4831907614400621,0,0,0,1,-0.12986394561755116,-0.20808510521584472
294,0.8,0.5209523373035331,0,0,0,1,-0.1307387910435301,-0.2072427302973811
295,0.8,0.581865703084639,0,0,0,1,-0.13360768116025087,-0.20476841058280737
296,0.8,0.6123613366083334,0,0,0,1,-0.1405190532367929,-0.19946257859962316
297,0.8,0.6890822812860621,0,1,0,1,-0.14816992240152094,-0.19584152338685049
298,0.8,0.7138032167381541,0,1,0,1,-0.1487991988532405,-0.1969409831971805
299,0.8,0.6748036637997591,0,1,0,0,-0.1484608177456447,-0.20426071515623473
300,0.8,0.6697728365445673,0,1,0,0,-0.1458870313643608,-0.21759864267305667
301,0.8,0.6516163287372466,0,1,0,0,-0.13932574580509693,-0.236702670172518
302,0.8,0.5786772709512625,0,1,1,0,-0.13393670533795185,-0.25434639689052224
303,0.8,0.506902516681239,0,1,1,0,-0.1355967051219357,-0.2623212291851287
304,0.8,0.4106655612890635,0,1,1,0,-0.13688300395097655,-0.2631028433697864
305,0.8,0.3353787533978535,0,1,1,0,-0.13422793938150157,-0.25732442557249896
306,0.8,0.33964406826602606,0,1,1,0,-0.12681317907091022,-0.251570761840878
307,0.8,0.34804544341157584,0,1,1,0,-0.11777175575425756,-0.25003755524934573
308,0.8,0.35226698339012125,0,1,1,0,-0.11112495324777046,-0.2501434421271091
309,0.8,0.3731412635963884,0,1,1,0,-0.10495629999817989,-0.2502213749948414
310,0.8,0.42622079570346144,0,1,1,0,-0.10132835447160268,-0.25222605291237765
311,0.8,0.4898995446064814,0,1,1,0,-0.10447800728174433,-0.2586210332656796
312,0.8,0.4192247957294864,0,0,1,1,-0.11408374466834982,-0.25881596115481253
313,0.8,0.39950446322617267,0,0,1,1,-0.1225004642757639,-0.24691071700509762
314,0.8,0.4241453933627834,0,0,1,1,-0.13200225113940622,-0.23420331908224049
315,0.8,0.4504152879403387,1,0,1,1,-0.14194315476416658,-0.2245833577584162
316,0.8,0.4736492933314821,1,0,1,1,-0.1507540065347142,-0.21988527784592724
317,0.8,0.48089691883932933,1,0,1,1,-0.1570863178709765,-0.218031937911286
318,0.8,0.4948618854149987,1,0,1,1,-0.16095879390526258,-0.21777059661340453
319,0.8,0.5022773658044839,1,0,1,1,-0.16320934812185736,-0.21837838432747111
320,0.8,0.5297091619065784,1,0,1,1,-0.16434506813075367,-0.21911724348741438
321,0.8,0.5386571607369183,1,0,0,1,-0.15972084930833005,-0.2207569922725106
322,0.8,0.54433000047015,1,0,0,1,-0.14611335551663399,-0.22213347759200874
323,0.8,0.5587313426906826,1,0,0,1,-0.12814373743370996,-0.2260865301713819
324,0.8,0.5483308846695957,1,0,0,1,-0.11009602208378352,-0.23162476396272644
325,0.8,0.5398158755038261,1,0,0,1,-0.09674505730047411,-0.2342643438861758
326,0.8,0.5432928383329013,1,0,0,1,-0.08985472871496046,-0.23387512361103774
327,0.8,0.5747687324829359,1,0,0,1,-0.08590132620624681,-0.2327585529092882
328,0.8,0.6081601212122739,1,0,0,1,-0.08313756520606475,-0.23172828280715338
329,0.8,0.6309325888978607,0,0,0,1,-0.08211912523376583,-0.229134108995111
330,0.8,0.6945562437132089,0,0,0,1,-0.08338883273281204,-0.22495202611637416
331,0.8,0.7997924888595109,0,0,0,1,-0.08198252231473699,-0.22264817393561093
332,0.8,0.8192662152789784,0,0,0,1,-0.07885078035184583,-0.21936845548034412
333,0.8,0.8469210641539471,0,1,0,1,-0.07416984815633057,-0.21482217536269752
334,0.8,0.8771421351442644,0,1,0,1,-0.06742675119731278,-0.21458803498500903
335,0.8,0.8231225820536774,0,1,1,0,-0.06429485550442472,-0.22238525039995577
336,0.8,0.7763812758747483,0,1,1,0,-0.06501625310898786,-0.22802877069063152
337,0.8,0.7050976243854704,0,1,1,0,-0.06297685500490123,-0.23067714362337602
338,0.8,0.6385885499643332,0,1,1,0,-0.059488432511560246,-0.22862277779243667
339,0.8,0.5901273316212052,0,1,1,0,-0.05488673663093381,-0.22419390591655192
340,0.8,0.5695331767164687,0,1,1,0,-0.04748695421503975,-0.21873094560625805
341,0.8,0.5505445901787865,0,1,1,0,-0.03837453294472357,-0.21373197560306667
342,0.8,0.5557881261791876,0,1,1,0,-0.02910225149445328,-0.2095952458472325
343,0.8,0.5771220082363003,0,1,1,0,-0.02260137335672287,-0.20829468381422803
344,0.8,0.5759094921581188,0,1,1,0,-0.019080860026227477,-0.20819984548275108
345,0.8,0.5999251840497234,0,1,1,0,-0.018343777658182975,-0.20759434551811393
346,0.8,0.6427008513614083,0,1,1,0,-0.018094925747259925,-0.20673402348182976
347,0.8,0.6972219322890074,0,1,1,0,-0.02173564933532325,-0.2091061657429172
348,0.8,0.7490684330171761,0,0,1,0,-0.031653628664581525,-0.2122714416732757
349,0.8,0.6829391422901961,1,0,1,1,-0.04942497649804101,-0.2119382615370781
350,0.8,0.6270423741020639,1,0,1,1,-0.06050899399013398,-0.20377166320760434
351,0.8,0.6608073656306137,1,0,1,1,-0.07072521488313423,-0.197266460228137
352,0.8,0.6864227584836984,1,0,1,1,-0.0805948109050172,-0.19624463739393264
353,0.8,0.7079020739829962,1,0,1,1,-0.0884507120710615,-0.19806103565883637
354,0.8,0.7343847161656291,1,0,1,1,-0.09337487813171448,-0.20211093298447702
355,0.8,0.7370902414888612,1,0,0,1,-0.0924888245817272,-0.20950152878944375
356,0.8,0.7489034903217694,1,0,0,1,-0.08898433217516206,-0.21784597468937614
357,0.8,0.7305905454678178,1,0,0,1,-0.08196199009567459,-0.22517093272142652
